"addr_short","ISIid","author","address","lon","lat"
" Aberdeen AB9 11DB,  Scotland","WOS:000310821600004","O'Neill, F. G."," Marine Scotland, Aberdeen AB9 11DB, Scotland",-4.2,56.5
" Aberdeen,  Scotland","WOS:000299879400003","MacKenzie, K."," Univ Aberdeen, Sch Biol Sci Zool, Aberdeen, Scotland",-2.1,57.1
" Aberdeen,  Scotland","WOS:000303043500001","O'Shea, Brid"," Univ Aberdeen, Sch Biol Sci, Aberdeen, Scotland",-2.1,57.1
" Aberdeen,  Scotland","WOS:000343317100012","Priede, Imants G."," Univ Aberdeen, Oceanlab, Newburgh AB41 6AA, Aberdeen, Scotland",-2.1,57.1
" Akureyri,  Iceland","WOS:000336258300009","Heimisdottir, H. L."," Univ Akureyri, Akureyri, Iceland",-18.1,65.7
" Akureyri,  Iceland","WOS:000336258300009","Hakonardottir, K."," Univ Akureyri, Akureyri, Iceland",-18.1,65.7
" Akureyri,  Iceland","WOS:000336258300009","Hrolfsdottir, L."," Univ Akureyri, Akureyri, Iceland",-18.1,65.7
" Akureyri,  Iceland","WOS:000336258300009","Bjornsdottir, R."," Univ Akureyri, Akureyri, Iceland",-18.1,65.7
" Al Khoud 123,  Oman","WOS:000336430200025","Malzahn, Arne M."," Sultan Qaboos Univ, Coll Agr & Marine Sci, Dept Marine Sci & Fisheries, Al Khoud 123, Oman",58.2,23.6
" Albuquerque,  NM 87102 USA","WOS:000317887500013","Perez, Terina L."," City Albuquerque, Albuquerque Biopark, Albuquerque, NM 87102 USA",-106.6,35.1
" Albuquerque,  NM 87102 USA","WOS:000317887500013","Altenbach, Chris S."," City Albuquerque, Albuquerque Biopark, Albuquerque, NM 87102 USA",-106.6,35.1
" Albuquerque,  NM 87131 USA","WOS:000317887500013","Osborne, Megan J."," Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA",-106.6,35.1
" Albuquerque,  NM 87131 USA","WOS:000317887500013","Turner, Thomas F."," Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA",-106.6,35.1
" Albuquerque,  NM 87131 USA","WOS:000317887500013","Osborne, Megan J."," Univ New Mexico, Museum Southwestern Biol, Albuquerque, NM 87131 USA",-106.6,35.1
" Albuquerque,  NM 87131 USA","WOS:000317887500013","Turner, Thomas F."," Univ New Mexico, Museum Southwestern Biol, Albuquerque, NM 87131 USA",-106.6,35.1
" Alesund,  Norway","WOS:000336117000008","Kennedy, James"," Moreforsking Marin, N-6021 Larsgarden, Alesund, Norway",6.1,62.5
" Alesund,  Norway","WOS:000336117000008","Gundersen, Agnes C."," Moreforsking Marin, N-6021 Larsgarden, Alesund, Norway",6.1,62.5
" Alexandria,  Egypt","WOS:000341498900019","Ali, T. El-Sayed"," Univ Alexandria, Fac Sci, Dept Oceanog, Alexandria, Egypt",29.9,31.2
" Alexandria,  Egypt","WOS:000341498900019","Abdel-Aziz, S. H."," Univ Alexandria, Fac Sci, Dept Oceanog, Alexandria, Egypt",29.9,31.2
" Alexandria,  Egypt","WOS:000341498900019","El-Sayed, A. -F. M."," Univ Alexandria, Fac Sci, Dept Oceanog, Alexandria, Egypt",29.9,31.2
" Alexandria,  Egypt","WOS:000341498900019","Zeid, S."," Univ Alexandria, Fac Sci, Dept Oceanog, Alexandria, Egypt",29.9,31.2
" Alicante 03080,  Spain","WOS:000316362200002","Arechavala-Lopez, P."," Univ Alicante, Dept Marine Sci & Appl Biol, Alicante 03080, Spain",-0.8,38
" Alicante 03080,  Spain","WOS:000316362200006","Arechavala-Lopez, P."," Univ Alicante, Dept Marine Sci & Appl Biol, Alicante 03080, Spain",-0.8,38
" Alicante 03080,  Spain","WOS:000316362200006","Sanchez-Jerez, P."," Univ Alicante, Dept Marine Sci & Appl Biol, Alicante 03080, Spain",-0.8,38
" Alicante 03080,  Spain","WOS:000316362200006","Bayle-Sempere, J. T."," Univ Alicante, Dept Marine Sci & Appl Biol, Alicante 03080, Spain",-0.8,38
" Almeria 04120,  Spain","WOS:000319875500034","Saez, Maria I."," Univ Almeria, Dept Biol Aplicada, Almeria 04120, Spain",-2.4,36.9
" Almeria 04120,  Spain","WOS:000319875500034","Navarro, Gines"," Univ Almeria, Dept Biol Aplicada, Almeria 04120, Spain",-2.4,36.9
" Almeria 04120,  Spain","WOS:000319875500034","Martinez, Tomas F."," Univ Almeria, Dept Biol Aplicada, Almeria 04120, Spain",-2.4,36.9
" Almeria 04120,  Spain","WOS:000319875500034","Suarez, Maria D."," Univ Almeria, Dept Biol Aplicada, Almeria 04120, Spain",-2.4,36.9
" Amazonas,  Brazil","WOS:000309249700009","Almeida, Fernanda F. L."," Embrapa Western Amazonia, BR-6901097 Manaus, Amazonas, Brazil",-65.9,-3.4
" Amherst,  MA 01003 USA","WOS:000300917200006","Juanes, Francis"," Univ Massachusetts, Dept Environm Conservat, Amherst, MA 01003 USA",-72.5,42.4
" Amherst,  MA 01003 USA","WOS:000314086300008","Burchard, Katie A."," Univ Massachusetts, Dept Nat Resources Conservat, Amherst, MA 01003 USA",-72.5,42.4
" Amherst,  MA 01003 USA","WOS:000345700700016","Juanes, Francis"," Univ Massachusetts, Dept Environm Conservat, Amherst, MA 01003 USA",-72.5,42.4
" Anchorage,  AK 99503 USA","WOS:000320306700019","Saalfeld, David T."," Univ Delaware, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99503 USA","WOS:000320306700019","Saalfeld, David T."," US Fish & Wildlife Serv, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99503 USA","WOS:000324613900014","Flannery, Blair G."," US Fish & Wildlife Serv, Conservat Genet Lab, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99503 USA","WOS:000324613900014","Lewis, Cara J."," US Fish & Wildlife Serv, Conservat Genet Lab, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99503 USA","WOS:000324613900014","Wenburg, John K."," US Fish & Wildlife Serv, Conservat Genet Lab, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99503 USA","WOS:000324613900014","Spangler, Robert E."," US Forest Serv, Anchorage, AK 99503 USA",-149.9,61.2
" Anchorage,  AK 99508 USA","WOS:000324559700005","Zimmerman, Christian E."," US Geol Survey, Alaska Sci Ctr, Anchorage, AK 99508 USA",-149.8,61.2
" Anchorage,  AK 99518 USA","WOS:000332834400003","Templin, William D."," Alaska Dept Fish & Game, Gene Conservat Lab, Anchorage, AK 99518 USA",-149.9,61.2
" Andalucia,  Spain","WOS:000316649200017","Aranda, Guillermo"," Univ Cadiz, Dept Biol, Fac Marine & Environm Sci, E-11510 Cadiz, Andalucia, Spain",-4.7,37.5
" Andalucia,  Spain","WOS:000316649200017","Medina, Antonio"," Univ Cadiz, Dept Biol, Fac Marine & Environm Sci, E-11510 Cadiz, Andalucia, Spain",-4.7,37.5
" Andalucia,  Spain","WOS:000316649200017","Santos, Agustin"," Univ Cadiz, Dept Biol, Fac Marine & Environm Sci, E-11510 Cadiz, Andalucia, Spain",-4.7,37.5
" Andalucia,  Spain","WOS:000331266000038","Llope, Marcos"," Ctr Oceanog Cadiz, Inst Espanol Oceanog, Cadiz, Andalucia, Spain",-4.7,37.5
" Ann Arbor,  MI 48105 USA","WOS:000322491100004","Wang, Jia"," NOAA, Great Lakes Environm Res Lab, Ann Arbor, MI 48105 USA",-83.7,42.3
" Antrim,  North Ireland","WOS:000327743200005","Beggs, Steven E."," Agri Food & Biosci Inst, Fisheries & Aquat Ecosyst Branch, Belfast BT9 5PX, Antrim, North Ireland",-6.2,54.7
" Antrim,  North Ireland","WOS:000327743200005","Gowen, Richard J."," Agri Food & Biosci Inst, Fisheries & Aquat Ecosyst Branch, Belfast BT9 5PX, Antrim, North Ireland",-6.2,54.7
" Antrim,  North Ireland","WOS:000329536400017","Houle, J."," Queens Univ Belfast, Sch Biol Sci, Belfast BT9 7BL, Antrim, North Ireland",-6.2,54.7
" Antrim,  North Ireland","WOS:000336430200006","Crozier, Walter W."," Agri Food & Biosci Inst, Belfast BT9 5PX, Antrim, North Ireland",-6.2,54.7
" Antrim,  North Ireland","WOS:000345706100011","Schoen, Pieter-Jan"," AFBI, Belfast BT9 5PX, Antrim, North Ireland",-6.2,54.7
" Ardebil,  Iran","WOS:000333452200001","Aramli, M. S."," Islamic Azad Univ, Ardabil Branch, Young Researchers & Elites Club, Ardebil, Iran",48.3,38.3
" Arendal,  Norway","WOS:000324856500040","Moland, Even"," Inst Marine Res, Arendal, Norway",8.8,58.5
" Arendal,  Norway","WOS:000324856500040","Knutsen, Halvor"," Inst Marine Res, Arendal, Norway",8.8,58.5
" Arendal,  Norway","WOS:000324856500040","Olsen, Esben Moland"," Inst Marine Res, Arendal, Norway",8.8,58.5
" Arendal,  Norway","WOS:000324856500040","Stenseth, Nils Chr"," Inst Marine Res, Arendal, Norway",8.8,58.5
" Argyll & Bute,  Scotland","WOS:000305963100017","Benjamins, Steven"," Scottish Assoc Marine Sci, Scottish Marine Inst, Oban PA37 1QA, Argyll & Bute, Scotland",-92.3,36.3
" Argyll,  Scotland","WOS:000333652100012","Wilson, L. J."," Scottish Marine Inst, Scottish Assoc Marine Sci, Oban PA37 1QA, Argyll, Scotland",-5.2,56.4
" Argyll,  Scotland","WOS:000333652100012","Burrows, M. T."," Scottish Marine Inst, Scottish Assoc Marine Sci, Oban PA37 1QA, Argyll, Scotland",-5.2,56.4
" Argyll,  Scotland","WOS:000333652100012","Wilson, B."," Scottish Marine Inst, Scottish Assoc Marine Sci, Oban PA37 1QA, Argyll, Scotland",-5.2,56.4
" Argyll,  Scotland","WOS:000336430200006","Fox, Clive J."," Scottish Marine Inst, Scottish Assoc Marine Sci, Oban PA37 1QA, Argyll, Scotland",-5.2,56.4
" Arlington,  VA 22207 USA","WOS:000336117000001","Javor, Barbara"," Ocean Associates Inc, Arlington, VA 22207 USA",-77.1,38.9
" Arlington,  VA 22230 USA","WOS:000310543800001","Conover, David O."," Natl Sci Fdn, Div Ocean Sci, Arlington, VA 22230 USA",-77.1,38.9
" As,  Norway","WOS:000305693200050","Larsson, Thomas"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Morkore, Turid"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Kolstad, Kari"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Ostbye, Tone-Kari"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Afanasyev, Sergey"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Krasnov, Aleksei"," Nofima, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Larsson, Thomas"," Norwegian Univ Life Sci, Dept Anim & Aquacultural Sci, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Morkore, Turid"," Norwegian Univ Life Sci, Dept Anim & Aquacultural Sci, As, Norway",10.8,59.7
" As,  Norway","WOS:000305693200050","Kolstad, Kari"," Norwegian Univ Life Sci, Dept Anim & Aquacultural Sci, As, Norway",10.8,59.7
" As,  Norway","WOS:000319014700003","Andersen, Oivind"," Norwegian Univ Life Sci, Dept Anim & Aquaculture Sci, As, Norway",10.8,59.7
" As,  Norway","WOS:000333033500010","Sorensen, M."," Norwegian Univ Life Sci, CoE, Dept Anim & Aquacultural Sci, Aquaculture Prot Ctr, As, Norway",10.8,59.7
" As,  Norway","WOS:000333033500010","Marchenko, Y."," Norwegian Univ Life Sci, Dept Anim & Aquacultural Sci, As, Norway",10.8,59.7
" As,  Norway","WOS:000334464600002","Andersen, Oivind"," Nofima, N-1430 Oslo, As, Norway",10.8,59.7
" As,  Norway","WOS:000334464600002","Andersen, Oivind"," Norwegian Univ Life Sci, Dept Anim & Aquaculture Sci, N-1430 Oslo, As, Norway",10.8,59.7
" As,  Norway","WOS:000334464600002","Yadav, Prakash"," Norwegian Univ Life Sci, Dept Anim & Aquaculture Sci, N-1430 Oslo, As, Norway",10.8,59.7
" Ashhurst S040 7AA,  England","WOS:000307492800020","Turnpenny, Andy"," Turnpenny Horsfield Associates, Ashhurst S040 7AA, England",-1.5,50.9
" Athens 16604,  Greece","WOS:000345703500023","Stergiou, Konstantinos I."," Hellen Ctr Marine Res, Inst Marine Biol Resources & Inland Waters, Athens 16604, Greece",23.8,38
